id,fecha_publicacion,precio_cop,area_m2,habitaciones,banos,barrio,direccion,ciudad,lat,lon,tipo_propiedad
443611,2024-09-01,"",62,3,5,Granada,Calle 105 #61-26,Santiago de Cali,3.462864,-76.535846,Apartamento
730642,2024-09-01,256128000,121,4,1,San  Antonio,Avenida 7 #114-28,  Cali ,3.471784,-76.539859,  Casa 
576712,2024-09-01,156516000,82,1,1,Napoles,Calle 112 #21-47,Cali,3.434372,-76.495857,Casa
355614,2024-09-01,1192832000,83,3,2,  Tequendama ,Carrera 52 #1-37,Cali,3.469289,-76.506688,Apartamento
929252,2024-09-01,673253000,58,1,3,San Bosco,Carrera 20 #116-59,Santiago de Cali,3.383293,-76.560698,Casa
228825,2024-09-01,190784000,52,1,1,San Fernando,Transversal 104 #13-17,Santiago de Cali,3.40199,-76.534368,Casa
292100,2024-09-01,829771000,110,3,4,Pance,Calle 82 #26-21,Cali,3.477612,-76.483098,Apartaestudio
315643,2024-09-01,190886000,123,1,5,,Avenida 16 #71-39,Cali,3.447645,-76.535381,Casa
914996,2024-09-01,260556000,67,6,1,  El Refugio ,  Calle 81 #11-7 ,Cali,3.429908,-76.517098,  Casa 
201321,2024-09-02,278966000,115,4,2,San Fernando,Carrera 90 #116-8,Cali,3.405634,-76.563657,Casa
720796,2024-09-02,649165000,98,2,4,  Tequendama ,  Avenida 42 #63-3 ,Cali,3.472374,-76.543143,Apartaestudio
794348,2024-09-02,741726000,144,5,3,Pance,Calle 5 #12-32,  Cali ,3.430258,-76.482429,Casa
959013,2024-09-02,1190262000,130,4,3,Tequendama,  Calle 7 #110-6 ,Cali,3.422372,-76.451727,Casa
251690,2024-09-03,685356000,83,1,4,El Ingenio,Carrera 52 #73-27,Cali,3.398939,-76.496151,Apartamento
553071,2024-09-03,416231000,132,3,1,  La Flora ,Avenida 9 #111-41,Cali,3.470165,-76.480447,Casa
308630,2024-09-03,412726000,54,4,1,San  Antonio,Avenida 30 #34-18,Cali,3.440421,-76.568879,Casa
256972,2024-09-04,319302000,61,6,1,Centenario,Calle 37 #64-29,Santiago de Cali,3.443015,-76.547469,Casa
572090,2024-09-04,286716000,104,4,1,San Cayetano,Carrera 45 #64-54,  Cali ,3.444339,-76.467648,""
650232,2024-09-04,240412000,56,5,2,El Ingenio,Calle 61 #39-18,Cali,3.475322,-76.550624,Casa
467829,2024-09-04,407158000,121,4,4,Pance,  Avenida 104 #62-52 ,Santiago de Cali,3.386692,-76.493979,  Apartamento 
432041,2024-09-05,306478000,71,4,1,El Ingenio,"",  Cali ,3.428337,-76.474341,Apartaestudio
381933,2024-09-05,409171000,154,2,3,La Flora,Avenida 35 #47-38,Cali,3.398153,-76.487699,Apartamento
853417,2024-09-05,300065000,58,4,1,La Flora,Transversal 64 #77-48,Santiago de Cali,3.387858,-76.514189,Apartamento
353707,2024-09-05,,93,"",,San  Antonio,Transversal 53 #110-26,Cali,3.467967,-76.536368,Apartamento
640982,2024-09-06,451536000,174,5,1,El Refugio,Carrera 50 #47-38,Cali,3.455637,-76.500684,Apartaestudio
138760,2024-09-06,285674000,85,4,5,Tequendama,Calle 96 #47-18,Cali,3.389392,-76.523506,Apartamento
536904,2024-09-06,149743000,90,2,,Tequendama,  Transversal 52 #93-8 ,Cali,3.395097,-76.516497,Casa
640982,2024-09-06,451536000,174,5,1,El Refugio,Carrera 50 #47-38,Cali,3.455637,-76.500684,Apartaestudio
639014,2024-09-07,318394000,47,3,2,San Fernando,Avenida 78 #22-58,Cali,3.445356,-76.51979,Apartaestudio
448840,2024-09-07,265176000,49,1,1,Centenario,Carrera 52 #20-1,Cali,3.453511,-76.545222,Apartaestudio
981849,2024-09-07,392896000,64,3,1,San  Antonio,Avenida 76 #6-34,Cali,3.386083,-76.487286,Apartamento
552584,2024-09-07,349730000,77,1,1,  San Cayetano ,Carrera 42 #100-44,Cali,3.393192,-76.459353,Apartamento
781000,2024-09-08,187013000,44,3,1,Ciudad  Jardín,Carrera 82 #36-9,Cali,3.457536,-76.547416,  Casa 
711463,2024-09-08,566022000,111,3,2,Pance,  Transversal 78 #26-15 ,Cali,3.471532,-76.517765,Apartaestudio
447075,2024-09-08,482968000,66,2,1,  San Bosco ,Calle 23 #85-5,Santiago de Cali,3.404198,-76.502546,  Casa 
781000,2024-09-08,187013000,44,3,1,Ciudad  Jardín,Carrera 82 #36-9,Cali,3.457536,-76.547416,  Casa 
667493,2024-09-09,125788000,186,2,4,Pance,Calle 109 #115-36,Santiago de Cali,3.446865,-76.45092,Apartamento
523027,2024-09-09,153131000,95,"",1,San Judas,Transversal 43 #117-20,Cali,3.458494,-76.466213,Apartamento
523027,2024-09-09,153131000,95,"",1,San Judas,Transversal 43 #117-20,Cali,3.458494,-76.466213,Apartamento
879909,2024-09-10,463848000,73,,1,Centenario,Transversal 3 #36-39,Cali,3.42551,-76.530266,Apartaestudio
934119,2024-09-10,220874000,203,1,3,  San  Antonio ,Carrera 31 #23-11,Santiago de Cali,3.451841,-76.463568,  Casa 
269671,2024-09-10,247585000,127,2,1,Santa Mónica,Carrera 64 #39-25,Cali,3.483686,-76.553246,Casa
953930,2024-09-10,245534000,100,2,2,Tequendama,Carrera 94 #107-30,Cali,3.430104,-76.560693,Casa
691330,2024-09-10,199049000,66,2,1,La Flora,Carrera 55 #14-19,Cali,3.458659,-76.471281,Casa
146135,2024-09-11,95544000,31,5,4,San Fernando,Transversal 102 #97-20,Cali,3.476215,-76.495892,Casa
326354,2024-09-11,407905000,,5,4,Centenario,Carrera 83 #94-55,Cali,3.426403,-76.536099,Apartamento
559081,2024-09-11,257172000,120,1,1,Tequendama,Carrera 8 #89-23,Cali,3.432333,-76.486425,Casa
313650,2024-09-11,485773000,99,4,2,El Refugio,Carrera 42 #87-19,Cali,3.471434,-76.568954,Apartaestudio
